position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Defender,Valencia,Tárrega,3390000,FerranGoaT,"3,370,000",0.0,0,154,2025-08-10 00:45:21
Forward,Athletic,Iñaki Williams,8560000,FerranGoaT,"8,540,000",0.0,0,200,2025-08-10 00:45:21
Goalkeeper,Atlético,Oblak,5550000,CD Numancia,"7,681,000",0.0,0,161,2025-08-10 00:45:21
Midfielder,Athletic,De Galarreta,3470000,CD Numancia,"5,392,630",0.0,0,120,2025-08-10 00:45:21
Defender,Mallorca,Raíllo,5130000,CD Numancia,"7,262,480",0.0,0,196,2025-08-10 00:45:21
Forward,Celta,Jutglà,5660000,CD Numancia,"10,132,250",0.0,0,0,2025-08-10 00:45:22
Midfielder,Mallorca,Morlanes,1280000,CD Numancia,"4,584,380",0.0,0,94,2025-08-10 00:45:22
Goalkeeper,Real Madrid,Courtois,7340000,CD Numancia,"9,070,190",0.0,0,152,2025-08-10 00:45:23
Goalkeeper,Valencia,Agirrezabala,4580000,CD Numancia,"6,789,590",0.0,0,58,2025-08-10 00:45:23
Midfielder/Forward,Atlético,Baena,13590000,CD Numancia,"13,778,230",0.0,0,246,2025-08-10 00:45:23
Forward/Midfielder,Elche,Germán Valera,1050000,CD Numancia,"2,455,630",0.0,0,18,2025-08-10 00:45:23
Midfielder,Celta,Ilaix Moriba,3740000,CD Numancia,"6,545,010",0.0,0,144,2025-08-10 00:45:23
Midfielder/Forward,Espanyol,Jofre Carreras,1450000,CD Numancia,"2,558,580",0.0,0,131,2025-08-10 00:45:23
Defender,Sevilla,Carmona,2200000,CD Numancia,"3,699,290",0.0,0,130,2025-08-10 00:45:23
Defender,Celta,Marcos Alonso,4260000,CD Numancia,"5,837,500",0.0,0,162,2025-08-10 00:45:23
Midfielder/Forward,Real Sociedad,Pablo Marín,1930000,CD Numancia,"4,389,590",0.0,0,80,2025-08-10 00:45:23
Defender,Celta,Starfelt,2660000,CD Numancia,"4,785,770",0.0,0,131,2025-08-10 00:45:23
Forward,Villarreal,Etta Eyong,3420000,CD Numancia,"5,814,680",0.0,0,16,2025-08-10 00:45:23
Forward,Alavés,Toni Martínez,1610000,CD Numancia,"2,710,310",0.0,0,111,2025-08-10 00:45:23
Defender,Alavés,Facundo Garcés,1780000,CD Numancia,"3,298,010",0.0,0,37,2025-08-10 00:45:23
Defender,Real Oviedo,Alhassane,1490000,CD Numancia,"1,899,630",0.0,0,0,2025-08-10 00:45:24
Defender,Levante,Cabello,160000,CD Numancia,"892,260",0.0,0,0,2025-08-10 00:45:25
Defender,Levante,De la Fuente,1840000,CD Numancia,"5,423,560",0.0,0,0,2025-08-10 00:45:26
Midfielder,Betis,Isco,15940000,Manchester Tity,"15,930,000",0.0,0,184,2025-08-10 00:45:27
