position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Davanter,Levante,Morales,0,0,1.770.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Mallorca,Maffeo,0,132,1.770.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Betis,Natan,0,107,1.760.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Gabriel Suazo,0,0,1.750.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Atlético,Samu Lino,0,132,1.740.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Valencia,André Almeida,0,128,1.740.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Atlético,Agoumé,0,119,1.740.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Barcelona,Szczęsny,0,78,1.730.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Rayo Vallecano,Pathé Ciss,0,145,1.700.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Girona,Iván Martín,0,125,1.690.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Betis,Sergi Altimira,0,130,1.680.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Mallorca,Greif,0,144,1.650.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Celta,Swedberg,0,123,1.630.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Sociedad,Zubeldia,0,104,1.620.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Atlético,Gallagher,0,132,1.610.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Sevilla,Agoumé,0,100,1.600.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Villarreal,Logan Costa,0,132,1.570.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Kiko Femenía,0,112,1.540.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Getafe,Javi Muñoz,0,136,1.530.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Atlético,Giménez,0,115,1.510.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Osasuna,Moncayola,0,127,1.500.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Nacho Vidal,0,8,1.500.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Barcelona,Ter Stegen,0,31,1.460.000,60.000,Lesionat. Lesió a l'esquena. Tornada estimada: Volta indefinida.,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Sociedad,Sadiq,0,88,1.460.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Santiago Mouriño,0,131,1.440.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Sevilla,Carmona,0,130,1.430.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Barcelona,Gerard Martín,0,101,1.430.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Hassan,0,0,1.390.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Girona,David López,0,121,1.380.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Juan Iglesias,0,151,1.370.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Celta,Hugo Álvarez,0,116,1.370.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Alavés,Antonio Blanco,0,123,1.360.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Elche,Dituro,0,0,1.360.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Yeray,0,119,1.330.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Elche,Febas,0,0,1.310.000,90.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Levante,Víctor García,0,0,1.300.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Sevilla,Isaac Romero,0,98,1.290.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Porter,Mallorca,Leo Román,0,56,1.270.000,160.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Athletic,Robert Navarro,0,97,1.270.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Diakhaby,0,63,1.260.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Real Sociedad,Pablo Marín,0,80,1.220.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Real Oviedo,Alberto Reina,0,0,1.220.000,150.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Getafe,Djené,0,113,1.200.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Espanyol,Jofre Carreras,0,131,1.200.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Levante,Brugué,0,0,1.190.000,50.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Real Oviedo,Calvo,0,0,1.180.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Levante,Elgezabal,0,0,1.170.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Sevilla,Juanlu,0,133,1.150.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Girona,Asprilla,0,113,1.150.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Celta,Carreira,0,95,1.140.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Oviedo,Chaira,0,0,1.140.000,110.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Atlético,Galán,0,89,1.130.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Alavés,Jonny Castro,0,0,1.120.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Davanter,Real Sociedad,Barrenetxea,0,94,1.110.000,70.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Pablo Martínez,0,0,1.110.000,80.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Athletic,Paredes,0,101,1.100.000,170.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Elche,Nico Fernández,0,0,1.100.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Getafe,Neyou,0,126,1.100.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Athletic,Beñat Prados,0,115,1.080.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter/Migcampista,Celta,Pablo Durán,0,116,1.080.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Atlético,Guridi,0,125,1.050.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Villarreal,Danjuma,0,107,1.050.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Sevilla,Jordán,0,138,980.000,40.000,Lesionat. Operació hèrnia discal. Retorn estimat: mitjans d'octubre.,0,"0,0",0,"0,0",0,"0,0"
Migcampista/Defensa,Betis,Ruibal,0,111,980.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Barcelona,Marc Bernal,0,17,980.000,140.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Davanter,Real Madrid,Endrick,0,55,970.000,20.000,Lesionat. Lesió del tendó conjunt dels isquiotibials de la cama dreta. Tornada estimada: Principis d'agost.,0,"0,0",0,"0,0",0,"0,0"
Defensa/Migcampista,Sevilla,Gudelj,0,105,930.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Migcampista,Levante,Kervin Arriaga,0,0,930.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Defensa,Valencia,Foulquier,0,103,920.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
