txn_key,txn_date,player_id,player_name,player_position,player_price,price_change,winner_id,winner_name,winning_amount,num_bidders,bidder_id,bidder_name,bid_amount,is_winner,bid_rank,scraped_at
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,7745504,Patsi F.C,3300000.0,0,4,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,1792970,Manchester Tity,3188880.0,0,5,2026-08-31 06:50:36
12494:1716474:3640520,1788152839,12494,Boyé,FWD,2990000.0,140000.0,1716474,Locombia FC,3640520.0,7,11457758,RaiFC,3106700.0,0,6,2026-08-31 06:50:36
41566:14001537:1615760,1788152839,41566,Gerenabarrena,MID,790000.0,130000.0,14001537,The National,1615760.0,5,14001537,The National,1615760.0,1,0,2026-08-31 06:50:36
41566:14001537:1615760,1788152839,41566,Gerenabarrena,MID,790000.0,130000.0,14001537,The National,1615760.0,5,9892417,CD Numancia,1200090.0,0,1,2026-08-31 06:50:36
41566:14001537:1615760,1788152839,41566,Gerenabarrena,MID,790000.0,130000.0,14001537,The National,1615760.0,5,1716474,Locombia FC,894110.0,0,2,2026-08-31 06:50:36
41566:14001537:1615760,1788152839,41566,Gerenabarrena,MID,790000.0,130000.0,14001537,The National,1615760.0,5,7745504,Patsi F.C,876543.0,0,3,2026-08-31 06:50:36
41566:14001537:1615760,1788152839,41566,Gerenabarrena,MID,790000.0,130000.0,14001537,The National,1615760.0,5,11457758,RaiFC,689510.0,0,4,2026-08-31 06:50:36
2480:1792970:2689000,1788152839,2480,Mandi,DEF,2460000.0,50000.0,1792970,Manchester Tity,2689000.0,4,1792970,Manchester Tity,2689000.0,1,0,2026-08-31 06:50:36
2480:1792970:2689000,1788152839,2480,Mandi,DEF,2460000.0,50000.0,1792970,Manchester Tity,2689000.0,4,7745504,Patsi F.C,2650000.0,0,1,2026-08-31 06:50:36
2480:1792970:2689000,1788152839,2480,Mandi,DEF,2460000.0,50000.0,1792970,Manchester Tity,2689000.0,4,14001537,The National,2630400.0,0,2,2026-08-31 06:50:36
2480:1792970:2689000,1788152839,2480,Mandi,DEF,2460000.0,50000.0,1792970,Manchester Tity,2689000.0,4,9892417,CD Numancia,2450050.0,0,3,2026-08-31 06:50:36
30487:1716474:4500550,1788152839,30487,Álvaro Valles,GK,4430000.0,30000.0,1716474,Locombia FC,4500550.0,3,1716474,Locombia FC,4500550.0,1,0,2026-08-31 06:50:36
30487:1716474:4500550,1788152839,30487,Álvaro Valles,GK,4430000.0,30000.0,1716474,Locombia FC,4500550.0,3,9892417,CD Numancia,4450030.0,0,1,2026-08-31 06:50:36
30487:1716474:4500550,1788152839,30487,Álvaro Valles,GK,4430000.0,30000.0,1716474,Locombia FC,4500550.0,3,14001537,The National,4400030.0,0,2,2026-08-31 06:50:36
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,1716474,Locombia FC,3084920.0,1,0,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,1715607,"General ""Hansi” Topete",3050500.0,0,1,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,14001537,The National,3007280.0,0,2,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,12616837,Hernan Krezzpo,2999990.0,0,3,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,7745504,Patsi F.C,2900000.0,0,4,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,1792970,Manchester Tity,2898000.0,0,5,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,11457758,RaiFC,2842310.0,0,6,2026-09-01 06:43:15
34469:1716474:3084920,1788238921,34469,Luka Sucic,MID,2790000.0,100000.0,1716474,Locombia FC,3084920.0,8,9892417,CD Numancia,2800030.0,0,7,2026-09-01 06:43:15
42328:1792970:151000,1788238921,42328,Moussa Diarra,DEF,150000.0,0.0,1792970,Manchester Tity,151000.0,2,1792970,Manchester Tity,151000.0,1,0,2026-09-01 06:43:15
42328:1792970:151000,1788238921,42328,Moussa Diarra,DEF,150000.0,0.0,1792970,Manchester Tity,151000.0,2,9892417,CD Numancia,150030.0,0,1,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,9892417,CD Numancia,14000020.0,1,0,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,11458371,Minabo de Kiev,13295551.0,0,1,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,1792970,Manchester Tity,11698000.0,0,2,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,12617705,FreeJulian,11610000.0,0,3,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,7745504,Patsi F.C,11000001.0,0,4,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,12616837,Hernan Krezzpo,10909090.0,0,5,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,1715607,"General ""Hansi” Topete",10827340.0,0,6,2026-09-01 06:43:15
18398:9892417:14000020,1788238921,18398,Budimir,FWD,10490000.0,80000.0,9892417,CD Numancia,14000020.0,8,11457758,RaiFC,10410010.0,0,7,2026-09-01 06:43:15
19141:1715607:325050,1788238921,19141,Ruibal,MID,310000.0,0.0,1715607,"General ""Hansi” Topete",325050.0,1,1715607,"General ""Hansi” Topete",325050.0,1,0,2026-09-01 06:43:15
1927:1716474:7050460,1788238921,1927,Gerard Moreno,FWD,6510000.0,20000.0,1716474,Locombia FC,7050460.0,3,1716474,Locombia FC,7050460.0,1,0,2026-09-01 06:43:15
1927:1716474:7050460,1788238921,1927,Gerard Moreno,FWD,6510000.0,20000.0,1716474,Locombia FC,7050460.0,3,1792970,Manchester Tity,6788000.0,0,1,2026-09-01 06:43:15
1927:1716474:7050460,1788238921,1927,Gerard Moreno,FWD,6510000.0,20000.0,1716474,Locombia FC,7050460.0,3,1715607,"General ""Hansi” Topete",6702420.0,0,2,2026-09-01 06:43:15
41418:1792970:3988000,1788238921,41418,Dani Lorenzo,MID,3680000.0,10000.0,1792970,Manchester Tity,3988000.0,3,1792970,Manchester Tity,3988000.0,1,0,2026-09-01 06:43:15
41418:1792970:3988000,1788238921,41418,Dani Lorenzo,MID,3680000.0,10000.0,1792970,Manchester Tity,3988000.0,3,9892417,CD Numancia,3750070.0,0,1,2026-09-01 06:43:15
41418:1792970:3988000,1788238921,41418,Dani Lorenzo,MID,3680000.0,10000.0,1792970,Manchester Tity,3988000.0,3,12616837,Hernan Krezzpo,3670000.0,0,2,2026-09-01 06:43:15
42747:12616837:1199999,1788238921,42747,Abdelkarim,FWD,1130000.0,-60000.0,12616837,Hernan Krezzpo,1199999.0,1,12616837,Hernan Krezzpo,1199999.0,1,0,2026-09-01 06:43:15
42572:9892417:1150010,1788325391,42572,Terzić,,1120000.0,0.0,9892417,CD Numancia,1150010.0,1,9892417,CD Numancia,1150010.0,1,0,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,1792970,Manchester Tity,15688880.0,1,0,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,11458371,Minabo de Kiev,9389080.0,0,1,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,12616837,Hernan Krezzpo,8989898.0,0,2,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,1715607,"General ""Hansi” Topete",8783550.0,0,3,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,14001537,The National,8700860.0,0,4,2026-09-02 06:46:16
42557:1792970:15688880,1788325391,42557,Adeyemi,FWD,8620000.0,-20000.0,1792970,Manchester Tity,15688880.0,6,11457758,RaiFC,8640010.0,0,5,2026-09-02 06:46:16
8376:12617705:1750000,1788325391,8376,Zubeldia,DEF,1590000.0,20000.0,12617705,FreeJulian,1750000.0,3,12617705,FreeJulian,1750000.0,1,0,2026-09-02 06:46:16
8376:12617705:1750000,1788325391,8376,Zubeldia,DEF,1590000.0,20000.0,12617705,FreeJulian,1750000.0,3,9892417,CD Numancia,1600040.0,0,1,2026-09-02 06:46:16
8376:12617705:1750000,1788325391,8376,Zubeldia,DEF,1590000.0,20000.0,12617705,FreeJulian,1750000.0,3,14001537,The National,1571550.0,0,2,2026-09-02 06:46:16
19244:1715607:5008250,1788325391,19244,Hansi Flick,,4950000.0,-10000.0,1715607,"General ""Hansi” Topete",5008250.0,1,1715607,"General ""Hansi” Topete",5008250.0,1,0,2026-09-02 06:46:16
19299:14001537:3719190,1788411778,19299,Sergio Gómez,DEF,3420000.0,0.0,14001537,The National,3719190.0,1,14001537,The National,3719190.0,1,0,2026-09-03 08:59:22
40911:14001537:3034050,1788411778,40911,Nsongo,FWD,2780000.0,80000.0,14001537,The National,3034050.0,4,14001537,The National,3034050.0,1,0,2026-09-03 08:59:22
40911:14001537:3034050,1788411778,40911,Nsongo,FWD,2780000.0,80000.0,14001537,The National,3034050.0,4,1715607,"General ""Hansi” Topete",2977750.0,0,1,2026-09-03 08:59:22
40911:14001537:3034050,1788411778,40911,Nsongo,FWD,2780000.0,80000.0,14001537,The National,3034050.0,4,9892417,CD Numancia,2900050.0,0,2,2026-09-03 08:59:22
40911:14001537:3034050,1788411778,40911,Nsongo,FWD,2780000.0,80000.0,14001537,The National,3034050.0,4,11457758,RaiFC,2852250.0,0,3,2026-09-03 08:59:22
32460:12616837:2727000,1788411778,32460,Héctor Fort,DEF,2150000.0,160000.0,12616837,Hernan Krezzpo,2727000.0,4,12616837,Hernan Krezzpo,2727000.0,1,0,2026-09-03 08:59:22
32460:12616837:2727000,1788411778,32460,Héctor Fort,DEF,2150000.0,160000.0,12616837,Hernan Krezzpo,2727000.0,4,1715607,"General ""Hansi” Topete",2587110.0,0,1,2026-09-03 08:59:22
32460:12616837:2727000,1788411778,32460,Héctor Fort,DEF,2150000.0,160000.0,12616837,Hernan Krezzpo,2727000.0,4,9892417,CD Numancia,2500999.0,0,2,2026-09-03 08:59:22
32460:12616837:2727000,1788411778,32460,Héctor Fort,DEF,2150000.0,160000.0,12616837,Hernan Krezzpo,2727000.0,4,11457758,RaiFC,2113830.0,0,3,2026-09-03 08:59:22
11800:9892417:3300099,1788411778,11800,Cabrera,DEF,3070000.0,20000.0,9892417,CD Numancia,3300099.0,3,9892417,CD Numancia,3300099.0,1,0,2026-09-03 08:59:22
11800:9892417:3300099,1788411778,11800,Cabrera,DEF,3070000.0,20000.0,9892417,CD Numancia,3300099.0,3,1715607,"General ""Hansi” Topete",3273780.0,0,1,2026-09-03 08:59:22
