position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Midfielder,Girona,Valery,190000,€0,,0.0,0.0,0,2025-07-23 23:59:40
Midfielder,Espanyol,Pol Lozano,890000,"€60,000",,0.0,0.0,0,2025-07-23 23:59:41
Forward,Sevilla,Rafa Mir,190000,€0,,0.0,0.0,0,2025-07-23 23:59:42
Midfielder/Forward,Real Sociedad,Sergio Gómez,4600000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:43
Defender,Betis,Natan,2030000,"€50,000",,0.0,0.0,0,2025-07-23 23:59:44
Forward/Midfielder,Villarreal,Yéremy Pino,3750000,"€50,000",,0.0,0.0,0,2025-07-23 23:59:45
Midfielder/Defender,Sevilla,Juanlu,1030000,"€30,000",,0.0,0.0,0,2025-07-23 23:59:46
Defender/Midfielder,Espanyol,Carlos Romero,2870000,"€60,000",,0.0,0.0,0,2025-07-23 23:59:48
Midfielder/Forward,Celta,Swedberg,1780000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:49
Midfielder,Girona,Van de Beek,540000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:50
Defender,Betis,Angel Ortiz,190000,€0,,0.0,0.0,0,2025-07-23 23:59:51
